State,County,Year,median_aqi,sample_weight,Median_Household_Income
Alabama,Baldwin,2025,42,1.0,78775.0
Alabama,Clay,2025,32,1.0,55250.0
Alabama,DeKalb,2025,42,1.0,51204.0
Alabama,Elmore,2025,32,0.9833333333333332,78243.0
Alabama,Etowah,2025,45,1.0,54563.0
Alabama,Jefferson,2025,53,1.0,66388.0
Alabama,Lawrence,2025,23,0.1055555555555555,66071.0
Alabama,Madison,2025,42,1.0,86499.0
Alabama,Mobile,2025,43,1.0,58880.0
Alabama,Montgomery,2025,44,1.0,59386.0
Alabama,Morgan,2025,42,1.0,68845.0
Alabama,Russell,2025,38,1.0,51197.0
Alabama,Shelby,2025,33,1.0,97961.0
Alabama,Sumter,2025,41,1.0,33310.0
Alabama,Tuscaloosa,2025,41,1.0,66231.0
Alaska,Aleutians East,2025,11,0.1111111111111111,65365.0
Alaska,Anchorage,2025,24,1.0,103284.0
Alaska,Denali,2025,38,1.0,80781.0
Alaska,Fairbanks North Star,2025,42,1.0,88267.0
Alaska,Kenai Peninsula,2025,8,0.1111111111111111,80538.0
Alaska,Matanuska-Susitna,2025,7,0.9777777777777776,94031.0
Alaska,North Slope,2025,7,0.1055555555555555,95694.0
Arizona,Apache,2025,14,1.0,41438.0
Arizona,Cochise,2025,46,1.0,59742.0
Arizona,Coconino,2025,48,1.0,72966.0
Arizona,Gila,2025,50,1.0,61986.0
Arizona,La Paz,2025,47,1.0,49478.0
Arizona,Maricopa,2025,71,1.0,89300.0
Arizona,Mohave,2025,19,1.0,57684.0
Arizona,Navajo,2025,12,1.0,54606.0
Arizona,Pima,2025,55,1.0,70315.0
Arizona,Pinal,2025,66,1.0,80266.0
Arizona,Santa Cruz,2025,45,1.0,55217.0
Arizona,Yavapai,2025,49,1.0,69613.0
Arizona,Yuma,2025,49,1.0,62876.0
Arkansas,Arkansas,2025,49,0.5055555555555555,53164.0
Arkansas,Ashley,2025,49,0.5055555555555555,44266.0
Arkansas,Clark,2025,35,1.0,52034.0
Arkansas,Crittenden,2025,41,1.0,55358.0
Arkansas,Garland,2025,49,0.5055555555555555,57181.0
Arkansas,Jackson,2025,44,0.5055555555555555,44218.0
Arkansas,Newton,2025,38,1.0,48986.0
Arkansas,Polk,2025,40,1.0,49191.0
Arkansas,Pulaski,2025,54,1.0,62873.0
Arkansas,Union,2025,52,0.5055555555555555,55259.0
Arkansas,Washington,2025,41,1.0,70639.0
California,Amador,2025,40,1.0,88044.0
California,Butte,2025,47,1.0,67928.0
California,Calaveras,2025,43,1.0,78647.0
California,Colusa,2025,39,1.0,75672.0
California,Del Norte,2025,33,0.9944444444444444,67058.0
California,El Dorado,2025,39,1.0,108845.0
California,Fresno,2025,54,1.0,74201.0
California,Glenn,2025,40,1.0,67139.0
California,Humboldt,2025,36,1.0,61160.0
California,Imperial,2025,64,1.0,57681.0
California,Inyo,2025,54,1.0,73991.0
California,Kern,2025,61,1.0,70210.0
California,Kings,2025,53,1.0,70995.0
California,Lake,2025,17,0.1888888888888888,60621.0
California,Los Angeles,2025,77,1.0,90112.0
California,Madera,2025,43,0.6666666666666666,76627.0
California,Marin,2025,21,0.1111111111111111,149091.0
California,Mariposa,2025,45,1.0,68412.0
California,Merced,2025,43,0.5,65510.0
California,Mono,2025,22,1.0,99415.0
California,Monterey,2025,40,1.0,97230.0
California,Nevada,2025,44,1.0,89882.0
California,Orange,2025,52,1.0,116289.0
California,Placer,2025,51,1.0,115998.0
California,Plumas,2025,46,1.0,66031.0
California,Riverside,2025,87,1.0,93074.0
California,Sacramento,2025,48,1.0,92175.0
California,San Benito,2025,41,1.0,114394.0
California,San Bernardino,2025,90,1.0,85478.0
California,San Diego,2025,54,1.0,106268.0
California,San Joaquin,2025,44,1.0,92179.0
California,San Luis Obispo,2025,51,1.0,97446.0
California,Santa Barbara,2025,54,1.0,98161.0
California,Santa Cruz,2025,37,1.0,111093.0
California,Shasta,2025,44,1.0,72636.0
California,Siskiyou,2025,6,0.0833333333333333,59095.0
California,Solano,2025,34,1.0,100401.0
California,Sonoma,2025,9,1.0,104674.0
California,Stanislaus,2025,45,1.0,81468.0
California,Sutter,2025,48,1.0,79704.0
California,Tehama,2025,36,1.0,63784.0
California,Trinity,2025,33,0.8444444444444444,53002.0
California,Tulare,2025,59,1.0,71300.0
California,Tuolumne,2025,40,1.0,77404.0
California,Ventura,2025,50,1.0,109797.0
California,Yolo,2025,47,1.0,91752.0
Colorado,Adams,2025,50,1.0,94571.0
Colorado,Alamosa,2025,24,1.0,55397.0
Colorado,Arapahoe,2025,51,1.0,101087.0
Colorado,Archuleta,2025,32,1.0,83065.0
Colorado,Boulder,2025,50,1.0,103994.0
Colorado,Clear Creek,2025,48,1.0,94577.0
Colorado,Delta,2025,28,0.65,57774.0
Colorado,Denver,2025,54,1.0,94718.0
Colorado,Douglas,2025,49,1.0,149594.0
Colorado,El Paso,2025,49,1.0,90363.0
Colorado,Fremont,2025,25,1.0,62664.0
Colorado,Garfield,2025,44,1.0,91131.0
Colorado,Gilpin,2025,48,1.0,95361.0
Colorado,Gunnison,2025,49,1.0,84527.0
Colorado,Jackson,2025,3,0.0944444444444444,47667.0
Colorado,Jefferson,2025,51,1.0,110656.0
Colorado,La Plata,2025,50,1.0,86056.0
Colorado,Larimer,2025,54,1.0,93765.0
Colorado,Mesa,2025,47,1.0,73658.0
Colorado,Montezuma,2025,46,1.0,65244.0
Colorado,Pitkin,2025,21,1.0,102645.0
Colorado,Prowers,2025,24,1.0,53508.0
Colorado,Pueblo,2025,48,1.0,64010.0
Colorado,Routt,2025,23,1.0,106489.0
Colorado,San Juan,2025,4,0.1111111111111111,77824.0
Colorado,San Miguel,2025,21,1.0,79024.0
Colorado,Weld,2025,52,1.0,97097.0
Delaware,Kent,2025,44,1.0,74477.0
Delaware,New Castle,2025,46,1.0,91166.0
Delaware,Sussex,2025,43,1.0,81497.0
Florida,Alachua,2025,37,1.0,61949.0
Florida,Baker,2025,45,1.0,79836.0
Florida,Bay,2025,46,1.0,73533.0
Florida,Brevard,2025,37,1.0,78476.0
Florida,Broward,2025,43,1.0,77633.0
Florida,Citrus,2025,44,1.0,56546.0
Florida,Collier,2025,43,1.0,90045.0
Florida,Columbia,2025,48,1.0,59205.0
Florida,Duval,2025,52,1.0,71277.0
Florida,Escambia,2025,44,1.0,67500.0
Florida,Flagler,2025,34,1.0,77363.0
Florida,Hamilton,2025,49,1.0,50144.0
Florida,Highlands,2025,34,1.0,54897.0
Florida,Hillsborough,2025,51,1.0,79540.0
Florida,Holmes,2025,48,1.0,49343.0
Florida,Indian River,2025,36,1.0,73491.0
Florida,Lake,2025,35,1.0,73161.0
Florida,Lee,2025,42,1.0,76107.0
Florida,Leon,2025,50,1.0,66287.0
Florida,Liberty,2025,32,1.0,58671.0
Florida,Manatee,2025,38,1.0,78457.0
Florida,Marion,2025,46,1.0,61010.0
Florida,Martin,2025,41,1.0,82943.0
Florida,Miami-Dade,2025,49,1.0,71753.0
Florida,Okaloosa,2025,37,1.0,81998.0
Florida,Orange,2025,44,1.0,79719.0
Florida,Osceola,2025,41,1.0,72637.0
Florida,Palm Beach,2025,42,1.0,83581.0
Florida,Pasco,2025,37,1.0,70492.0
Florida,Pinellas,2025,44,1.0,72646.0
Florida,Polk,2025,34,1.0,65978.0
Florida,Putnam,2025,21,1.0,47934.0
Florida,Santa Rosa,2025,45,1.0,91922.0
Florida,Sarasota,2025,47,1.0,83416.0
Florida,Seminole,2025,40,1.0,85761.0
Florida,St. Lucie,2025,32,1.0,71457.0
Florida,Volusia,2025,42,1.0,70044.0
Florida,Wakulla,2025,43,1.0,81895.0
Georgia,Bibb,2025,51,1.0,51234.0
Georgia,Charlton,2025,24,0.1055555555555555,61276.0
Georgia,Chatham,2025,44,1.0,71097.0
Georgia,Clarke,2025,44,1.0,53625.0
Georgia,Clayton,2025,49,0.45,59806.0
Georgia,Cobb,2025,36,1.0,102738.0
Georgia,Coffee,2025,44,1.0,50683.0
Georgia,Dawson,2025,35,1.0,92991.0
Georgia,DeKalb,2025,46,1.0,80644.0
Georgia,Dougherty,2025,46,1.0,49044.0
Georgia,Douglas,2025,40,0.5444444444444444,82984.0
Georgia,Floyd,2025,38,1.0,65565.0
Georgia,Fulton,2025,49,1.0,95292.0
Georgia,Glynn,2025,39,1.0,69799.0
Georgia,Gwinnett,2025,45,1.0,87890.0
Georgia,Hall,2025,46,1.0,80901.0
Georgia,Henry,2025,41,1.0,83146.0
Georgia,Houston,2025,44,1.0,80698.0
Georgia,Lowndes,2025,49,1.0,58541.0
Georgia,Murray,2025,39,1.0,69253.0
Georgia,Muscogee,2025,46,1.0,58073.0
Georgia,Pike,2025,39,1.0,86719.0
Georgia,Richmond,2025,49,1.0,55637.0
Georgia,Rockdale,2025,36,1.0,77247.0
Georgia,Walker,2025,46,1.0,59469.0
Georgia,Washington,2025,47,1.0,46023.0
Hawaii,Hawaii,2025,30,1.0,78639.0
Hawaii,Honolulu,2025,31,1.0,106195.0
Hawaii,Maui,2025,22,1.0,97161.0
Idaho,Ada,2025,39,1.0,91502.0
Idaho,Bannock,2025,31,1.0,66499.0
Idaho,Benewah,2025,37,1.0,59794.0
Idaho,Blaine,2025,22,0.9222222222222224,92566.0
Idaho,Boise,2025,43,1.0,78774.0
Idaho,Bonner,2025,41,1.0,66979.0
Idaho,Bonneville,2025,19,0.9722222222222222,79068.0
Idaho,Butte,2025,44,1.0,53015.0
Idaho,Canyon,2025,30,0.9944444444444444,76488.0
Idaho,Custer,2025,3,0.1111111111111111,67574.0
Idaho,Franklin,2025,22,0.9277777777777778,71950.0
Idaho,Idaho,2025,39,1.0,66325.0
Idaho,Kootenai,2025,24,1.0,81861.0
Idaho,Latah,2025,24,0.8611111111111112,65424.0
Idaho,Lemhi,2025,23,1.0,53202.0
Idaho,Nez Perce,2025,29,1.0,72599.0
Idaho,Shoshone,2025,37,1.0,55527.0
Idaho,Twin Falls,2025,24,1.0,67409.0
Idaho,Valley,2025,32,0.9388888888888888,76078.0
Illinois,Adams,2025,38,1.0,66220.0
Illinois,Champaign,2025,44,1.0,63683.0
Illinois,Clark,2025,36,1.0,72927.0
Illinois,Cook,2025,53,1.0,83498.0
Illinois,DuPage,2025,44,1.0,112096.0
Illinois,Effingham,2025,35,1.0,80404.0
Illinois,Hamilton,2025,43,1.0,65746.0
Illinois,Jersey,2025,44,1.0,80361.0
Illinois,Jo Daviess,2025,35,1.0,73993.0
Illinois,Kane,2025,46,1.0,103163.0
Illinois,Lake,2025,40,1.0,110416.0
Illinois,Macon,2025,44,1.0,62666.0
Illinois,Macoupin,2025,37,1.0,70805.0
Illinois,Madison,2025,48,1.0,75793.0
Illinois,McHenry,2025,43,1.0,104802.0
Illinois,McLean,2025,44,1.0,79905.0
Illinois,Peoria,2025,47,1.0,65108.0
Illinois,Randolph,2025,44,1.0,68131.0
Illinois,Rock Island,2025,41,1.0,67159.0
Illinois,Sangamon,2025,42,1.0,75357.0
Illinois,Will,2025,45,1.0,109984.0
Illinois,Winnebago,2025,41,1.0,65837.0
Indiana,Allen,2025,45,1.0,70737.0
Indiana,Bartholomew,2025,44,1.0,79901.0
Indiana,Boone,2025,38,1.0,111250.0
Indiana,Brown,2025,37,1.0,78528.0
Indiana,Carroll,2025,37,1.0,65645.0
Indiana,Clark,2025,46,1.0,74214.0
Indiana,Delaware,2025,44,1.0,58127.0
Indiana,Dubois,2025,39,1.0,75979.0
Indiana,Elkhart,2025,44,1.0,68561.0
Indiana,Floyd,2025,46,1.0,79704.0
Indiana,Greene,2025,41,1.0,62094.0
Indiana,Hamilton,2025,47,1.0,121530.0
Indiana,Hendricks,2025,38,1.0,101144.0
Indiana,Henry,2025,38,1.0,63150.0
Indiana,Howard,2025,46,1.0,64027.0
Indiana,Knox,2025,38,1.0,61237.0
Indiana,LaPorte,2025,44,1.0,71055.0
Indiana,Lake,2025,53,1.0,71493.0
Indiana,Madison,2025,42,1.0,63037.0
Indiana,Marion,2025,53,1.0,66346.0
Indiana,Monroe,2025,36,1.0,65868.0
Indiana,Perry,2025,38,1.0,61151.0
Indiana,Porter,2025,44,1.0,87972.0
Indiana,Posey,2025,39,1.0,78129.0
Indiana,Shelby,2025,37,1.0,72190.0
Indiana,Spencer,2025,42,1.0,74506.0
Indiana,St. Joseph,2025,44,1.0,66868.0
Indiana,Tippecanoe,2025,39,1.0,60636.0
Indiana,Vanderburgh,2025,44,1.0,61648.0
Indiana,Vigo,2025,45,1.0,52976.0
Indiana,Wabash,2025,37,1.0,66806.0
Indiana,Warrick,2025,40,1.0,89844.0
Indiana,Whitley,2025,38,1.0,78083.0
Iowa,Black Hawk,2025,48,1.0,66417.0
Iowa,Bremer,2025,38,1.0,86784.0
Iowa,Clinton,2025,45,1.0,66981.0
Iowa,Harrison,2025,39,1.0,79535.0
Iowa,Johnson,2025,36,1.0,74935.0
Iowa,Linn,2025,44,1.0,77649.0
Iowa,Montgomery,2025,43,1.0,63666.0
Iowa,Muscatine,2025,41,1.0,69396.0
Iowa,Palo Alto,2025,42,1.0,72781.0
Iowa,Polk,2025,46,1.0,83576.0
Iowa,Pottawattamie,2025,41,0.5,73602.0
Iowa,Scott,2025,45,1.0,78277.0
Iowa,Van Buren,2025,46,1.0,61161.0
Iowa,Webster,2025,48,0.6833333333333333,68975.0
Iowa,Woodbury,2025,39,1.0,73658.0
Kansas,Chase,2025,22,0.1,56484.0
Kansas,Douglas,2025,41,0.9,69746.0
Kansas,Ford,2025,26,1.0,70781.0
Kansas,Johnson,2025,43,1.0,109208.0
Kansas,Leavenworth,2025,36,1.0,89218.0
Kansas,Neosho,2025,43,1.0,56618.0
Kansas,Sedgwick,2025,48,1.0,69365.0
Kansas,Shawnee,2025,44,1.0,67104.0
Kansas,Sherman,2025,25,0.8277777777777777,61750.0
Kansas,Sumner,2025,43,1.0,63951.0
Kansas,Trego,2025,41,1.0,81528.0
Kansas,Wyandotte,2025,44,0.9333333333333332,63631.0
Kentucky,Bell,2025,43,1.0,31354.0
Kentucky,Boone,2025,38,0.6777777777777778,99414.0
Kentucky,Boyd,2025,39,1.0,61118.0
Kentucky,Bullitt,2025,39,0.6111111111111112,80558.0
Kentucky,Campbell,2025,39,1.0,77567.0
Kentucky,Carter,2025,36,1.0,51235.0
Kentucky,Christian,2025,41,1.0,55494.0
Kentucky,Daviess,2025,42,1.0,68214.0
Kentucky,Edmonson,2025,38,1.0,54937.0
Kentucky,Fayette,2025,40,1.0,69479.0
Kentucky,Greenup,2025,37,0.6777777777777778,60751.0
Kentucky,Hancock,2025,44,0.6777777777777778,65464.0
Kentucky,Hardin,2025,44,0.7055555555555556,67647.0
Kentucky,Jefferson,2025,48,1.0,69866.0
Kentucky,Jessamine,2025,41,0.9944444444444444,74576.0
Kentucky,Livingston,2025,40,0.5888888888888889,58984.0
Kentucky,McCracken,2025,39,1.0,64373.0
Kentucky,Morgan,2025,35,1.0,47913.0
Kentucky,Oldham,2025,39,0.6777777777777778,122497.0
Kentucky,Perry,2025,38,1.0,42181.0
Kentucky,Pike,2025,36,1.0,44312.0
Kentucky,Pulaski,2025,41,1.0,51898.0
Kentucky,Simpson,2025,39,0.6722222222222223,59858.0
Kentucky,Warren,2025,37,1.0,65794.0
Kentucky,Washington,2025,38,1.0,61616.0
Louisiana,Ascension,2025,33,1.0,91549.0
Louisiana,Bossier,2025,40,1.0,69617.0
Louisiana,Caddo,2025,38,1.0,50705.0
Louisiana,Calcasieu,2025,47,1.0,67564.0
Louisiana,East Baton Rouge,2025,51,1.0,63071.0
Louisiana,Iberville,2025,41,1.0,54000.0
Louisiana,Jefferson,2025,48,1.0,65252.0
Louisiana,Lafayette,2025,47,1.0,67451.0
Louisiana,Lafourche,2025,46,1.0,63135.0
Louisiana,Livingston,2025,45,1.0,80122.0
Louisiana,Orleans,2025,44,1.0,56631.0
Louisiana,Ouachita,2025,46,1.0,54688.0
Louisiana,Pointe Coupee,2025,35,1.0,65961.0
Louisiana,Rapides,2025,35,0.3166666666666666,54967.0
Louisiana,St. Bernard,2025,45,1.0,58651.0
Louisiana,St. James,2025,34,1.0,65531.0
Louisiana,St. John the Baptist,2025,35,1.0,66630.0
Louisiana,St. Martin,2025,36,1.0,55960.0
Louisiana,St. Tammany,2025,38,1.0,81202.0
Louisiana,Tangipahoa,2025,38,0.3444444444444444,56760.0
Louisiana,Terrebonne,2025,39,0.3388888888888889,64836.0
Louisiana,West Baton Rouge,2025,50,1.0,87299.0
Maine,Androscoggin,2025,35,1.0,67873.0
Maine,Aroostook,2025,36,1.0,56700.0
Maine,Cumberland,2025,39,1.0,95677.0
Maine,Hancock,2025,37,1.0,72744.0
Maine,Kennebec,2025,36,1.0,69077.0
Maine,Knox,2025,34,1.0,74096.0
Maine,Oxford,2025,39,1.0,60173.0
Maine,Penobscot,2025,34,1.0,66356.0
Maine,Sagadahoc,2025,35,1.0,87806.0
Maine,Washington,2025,36,1.0,56024.0
Maine,York,2025,36,1.0,88333.0
Maryland,Anne Arundel,2025,40,1.0,124911.0
Maryland,Baltimore,2025,44,1.0,91768.0
Maryland,Calvert,2025,38,1.0,133922.0
Maryland,Carroll,2025,38,1.0,118211.0
Maryland,Cecil,2025,41,1.0,92007.0
Maryland,Charles,2025,38,1.0,122816.0
Maryland,Dorchester,2025,40,1.0,61839.0
Maryland,Frederick,2025,41,1.0,122002.0
Maryland,Garrett,2025,41,1.0,67688.0
Maryland,Harford,2025,43,1.0,112265.0
Maryland,Howard,2025,36,1.0,149763.0
Maryland,Kent,2025,40,1.0,80147.0
Maryland,Montgomery,2025,41,1.0,132450.0
Maryland,Prince George's,2025,41,1.0,101798.0
Maryland,Washington,2025,42,1.0,77747.0
Massachusetts,Barnstable,2025,38,1.0,95241.0
Massachusetts,Berkshire,2025,41,1.0,76013.0
Massachusetts,Bristol,2025,41,1.0,85625.0
Massachusetts,Dukes,2025,37,1.0,125786.0
Massachusetts,Essex,2025,42,1.0,101883.0
Massachusetts,Franklin,2025,40,1.0,74907.0
Massachusetts,Hampden,2025,41,1.0,71306.0
Massachusetts,Hampshire,2025,39,1.0,87001.0
Massachusetts,Middlesex,2025,41,1.0,130847.0
Massachusetts,Norfolk,2025,43,1.0,130739.0
Massachusetts,Plymouth,2025,40,1.0,114201.0
Massachusetts,Suffolk,2025,39,1.0,95631.0
Massachusetts,Worcester,2025,42,1.0,95939.0
Michigan,Allegan,2025,43,1.0,83283.0
Michigan,Bay,2025,38,1.0,61763.0
Michigan,Benzie,2025,35,1.0,74834.0
Michigan,Berrien,2025,41,1.0,65425.0
Michigan,Cass,2025,40,1.0,70443.0
Michigan,Clinton,2025,39,1.0,88210.0
Michigan,Genesee,2025,38,1.0,62281.0
Michigan,Huron,2025,38,1.0,58870.0
Michigan,Ingham,2025,37,1.0,65526.0
Michigan,Kalamazoo,2025,40,1.0,72532.0
Michigan,Kent,2025,46,1.0,82631.0
Michigan,Keweenaw,2025,7,0.1055555555555555,52583.0
Michigan,Lenawee,2025,41,1.0,70518.0
Michigan,Macomb,2025,41,1.0,77837.0
Michigan,Manistee,2025,34,1.0,63516.0
Michigan,Marquette,2025,18,0.6833333333333333,65429.0
Michigan,Mason,2025,36,1.0,64748.0
Michigan,Missaukee,2025,36,1.0,66194.0
Michigan,Muskegon,2025,39,1.0,65024.0
Michigan,Oakland,2025,41,1.0,97760.0
Michigan,Ottawa,2025,40,1.0,90502.0
Michigan,Schoolcraft,2025,32,1.0,56782.0
Michigan,St. Clair,2025,39,1.0,71270.0
Michigan,Tuscola,2025,37,1.0,63811.0
Michigan,Washtenaw,2025,41,1.0,89180.0
Michigan,Wayne,2025,52,1.0,60539.0
Michigan,Wexford,2025,38,1.0,61085.0
Minnesota,Anoka,2025,38,0.9944444444444444,101869.0
Minnesota,Becker,2025,38,0.7277777777777777,71388.0
Minnesota,Beltrami,2025,37,0.9388888888888888,68975.0
Minnesota,Blue Earth,2025,38,0.9611111111111112,74477.0
Minnesota,Carlton,2025,35,0.9388888888888888,80573.0
Minnesota,Cass,2025,22,0.5,68874.0
Minnesota,Cook,2025,12,0.4777777777777778,72638.0
Minnesota,Crow Wing,2025,38,0.9944444444444444,72589.0
Minnesota,Dakota,2025,9,1.0,106318.0
Minnesota,Goodhue,2025,41,0.6722222222222223,84171.0
Minnesota,Hennepin,2025,39,1.0,97653.0
Minnesota,Lake,2025,34,0.9,75541.0
Minnesota,Lyon,2025,37,1.0,75303.0
Minnesota,Mille Lacs,2025,35,0.6611111111111111,72729.0
Minnesota,Olmsted,2025,36,0.8888888888888888,95406.0
Minnesota,Ramsey,2025,31,0.6722222222222223,81568.0
Minnesota,Scott,2025,36,0.9444444444444444,119314.0
Minnesota,Stearns,2025,36,0.9555555555555556,77066.0
Minnesota,Washington,2025,37,0.6722222222222223,115345.0
Minnesota,Winona,2025,19,0.0944444444444444,70744.0
Minnesota,Wright,2025,39,0.8722222222222222,107209.0
Mississippi,Bolivar,2025,44,1.0,39585.0
Mississippi,DeSoto,2025,44,1.0,85297.0
Mississippi,Forrest,2025,46,1.0,53640.0
Mississippi,Hancock,2025,44,1.0,67708.0
Mississippi,Harrison,2025,45,1.0,59479.0
Mississippi,Hinds,2025,52,1.0,49402.0
Mississippi,Jackson,2025,46,1.0,66201.0
Mississippi,Lauderdale,2025,35,1.0,50817.0
Mississippi,Lee,2025,38,1.0,67863.0
Mississippi,Yalobusha,2025,33,1.0,49151.0
Missouri,Andrew,2025,42,0.4944444444444444,75625.0
Missouri,Boone,2025,41,0.5111111111111111,72758.0
Missouri,Buchanan,2025,39,0.8222222222222222,62158.0
Missouri,Callaway,2025,42,0.5777777777777777,74176.0
Missouri,Cass,2025,41,0.8111111111111111,87535.0
Missouri,Cedar,2025,40,0.8222222222222222,48181.0
Missouri,Clay,2025,42,0.8111111111111111,88468.0
Missouri,Clinton,2025,43,0.5055555555555555,70627.0
Missouri,Greene,2025,44,0.8166666666666667,61479.0
Missouri,Jackson,2025,43,0.8388888888888889,68577.0
Missouri,Jasper,2025,42,0.8222222222222222,60694.0
Missouri,Jefferson,2025,40,0.8222222222222222,82851.0
Missouri,Lincoln,2025,42,0.5055555555555555,89278.0
Missouri,Monroe,2025,37,0.8222222222222222,54516.0
Missouri,Perry,2025,40,0.55,62981.0
Missouri,Stoddard,2025,21,0.0666666666666666,57957.0
Missouri,Taney,2025,26,0.0944444444444444,56497.0
Montana,Beaverhead,2025,12,0.9722222222222222,61268.0
Montana,Custer,2025,39,1.0,70605.0
Montana,Dawson,2025,14,1.0,71334.0
Montana,Fergus,2025,44,1.0,63706.0
Montana,Flathead,2025,40,1.0,73925.0
Montana,Gallatin,2025,14,1.0,93528.0
Montana,Glacier,2025,22,0.9277777777777778,46875.0
Montana,Hill,2025,13,0.8277777777777777,52798.0
Montana,Lake,2025,4,0.1111111111111111,63360.0
Montana,Lewis and Clark,2025,45,1.0,78237.0
Montana,Lincoln,2025,45,0.9777777777777776,47143.0
Montana,Missoula,2025,38,1.0,75598.0
Montana,Phillips,2025,18,0.95,53417.0
Montana,Powell,2025,6,0.0944444444444444,66923.0
Montana,Ravalli,2025,19,0.9666666666666668,71283.0
Montana,Richland,2025,39,1.0,73084.0
Montana,Roosevelt,2025,9,0.0944444444444444,57063.0
Montana,Rosebud,2025,4,0.1,49914.0
Montana,Sanders,2025,15,1.0,57476.0
Montana,Sheridan,2025,13,0.1055555555555555,70147.0
Montana,Silver Bow,2025,27,1.0,61754.0
